degree,specialization,skills,cgpa,certificate,job_role
B.Sc,Computer Applications,Python;SQL;Java,85,Yes,Software
B.E,Computer Science Engineering,"Critical Thinking, Analytic Thinking, SQL, Programming, Work under Pressure, Logical Skills, Problem Solving skills",66.5,Yes,Computer Software Engineer
MBA,Commerce,Accounting Skills;Critical Thinking,75.525,No,Relationships manager
B.Tech,Instrumentation Engineering,"
PLC Allen Bradley;PLC Ladder Logic;LabVIEW;Business Analysis;End-to-End ProjectManagement;Crossfunctional Team Leadership;Requirements Gathering;Lean Six Sigma;Lean six sigma blackbelt;Productivity Improvement",70.68,Yes,Plant Instrumentation Engineer
B.Tech,Computer Science Engineering,"C,C++,HTML,Java",73.15,Yes,Network analyst
BMS,Commerce,"Critical Thinking, Analytic Thinking, Communication Skills, Creativity Skills, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, Problem Solving skills, Observation Skills, Reading",73.15,No,Student (Unemployed)
B.Tech,Computer Science Engineering,NO,74.1,No,Software Engineer Trainee
B.Tech,Computer Science Engineering,Programming Language skills;Critical Thinking;Linux;Python;SQL;Java,69.35,Yes,senior software engineer
B.Com,Accountancy,"Accounting Skills, Analytic Thinking, Cost Accounting, Team work, Excel, Problem Solving skills, Writing, Tableau",63.745,Yes,Tele-caller
BE,Automobile Engineering,"Analytic Thinking, Gathering Informing, Communication Skills, Team work, Presentation Skills, Problem Solving skills",71.44,No,Data Engineer
BE,"Science,Maths, Engineering subject",Analytical Skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Python;SQL,69.35,Yes,Worked in Research Institute 
BE,Mechanical Engineering,"Python, Critical Thinking, Analytic Thinking, Gathering Informing, SQL, Programming, Leadership, Product Knowledge, Cost Accounting, Market Study, Team work, Excel, Logical Skills, R, Problem Solving skills, Writing, Tableau",71.25,Yes,Teacher
B.Tech,Electrical and Electronics Engineering,Matlab ;Embedded C; Arduino; C ++;c ;AVR;Eagle PCB;ARM Cortex-M;KiCAD;Software Project Management,81.7,Yes,Embedded System Engineer
